"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,-9.45529785156248,13.7673761010919,34.8247619628906,1.74663696289065,3.49009399414065,13.045541381836,24.6588256835938,26.6087371826172
1991,-9.56186523437498,13.0133809212463,36.2961975097656,1.45818939208987,3.13753662109377,11.4198852539063,25.0717956542969,27.3695816040039
1992,-7.11224975585935,12.9417779905932,33.4771667480469,1.5648132324219,3.41246337890627,12.2022338867188,23.655209350586,25.9446121215821
1993,-9.83881225585935,12.5304263229432,33.8006530761719,2.41911773681643,3.88320312500002,11.4777465820313,23.1783874511719,25.7839889526367
1994,-10.8596557617187,13.8687114676845,34.80068359375,2.38309020996096,4.55527038574221,12.9048858642578,24.9609954833985,27.1031890869141
1995,-12.8104614257812,14.0900576086298,35.1574340820313,2.92225036621096,4.82093811035159,13.9732299804688,23.6674499511719,25.919856262207
1996,-11.9332336425781,12.8845930059636,32.0961242675781,2.1435485839844,3.88509826660159,12.3289276123047,22.8920349121094,24.9234619140625
1997,-9.35407104492185,13.8285165383574,32.5944152832031,3.26640930175784,5.30310974121096,13.682992553711,22.6546325683594,24.5208633422852
1998,-9.55039062499998,13.3518274624169,33.137109375,2.33680114746096,4.08462829589846,12.6000610351563,24.2287780761719,26.2490036010742
1999,-12.0818237304687,13.3119773344644,34.4013610839844,1.43867492675784,3.15788269042971,12.8623596191406,24.3271636962891,26.2946563720703
2000,-8.10416259765623,13.359426256975,33.1740051269531,2.23290100097659,4.21943359375002,12.401513671875,23.9261444091797,25.8867309570313
2001,-11.5327209472656,13.383528068106,31.9808288574219,1.51396179199221,3.4936462402344,12.9593139648438,24.3318939208985,26.2387893676758
2002,-5.62787475585935,13.5541189012059,32.1515747070313,3.32053985595705,4.82972717285159,12.8330017089844,23.6059936523438,25.6904602050781
2003,-11.719580078125,13.8863670227395,36.7765441894531,1.80962219238284,3.7751892089844,12.7859130859375,25.5378997802735,27.4940460205078
2004,-9.57721557617185,13.3564449279648,36.4661193847656,2.0325149536133,3.87595825195315,12.109750366211,24.1892883300781,26.2476959228516
2005,-15.0401062011719,13.4948889125729,34.0208068847656,0.474736022949243,2.26979064941409,13.4929901123047,24.9423309326172,26.9440582275391
2006,-7.57916870117185,14.1235494943476,34.7931457519531,1.5723342895508,3.3766540527344,14.1242309570313,24.8486541748047,27.0022964477539
2007,-10.0598205566406,13.1495568105005,33.0349060058594,2.43357543945315,4.2325866699219,12.662973022461,23.0206298828125,25.2559463500977
2008,-8.0756896972656,13.1144507182216,32.7098327636719,2.43118896484377,4.2589294433594,12.4070068359375,23.6524719238281,25.7567184448242
2009,-11.9047302246094,13.9309839201627,33.9087463378906,1.39761352539065,3.75749816894534,13.5584655761719,25.1699005126953,27.1146423339844
2010,-13.9245971679687,12.8869961565066,34.7435241699219,0.0130081176758045,2.32197570800784,12.2192321777344,24.5169250488281,26.6766693115235
2011,-11.1022094726562,14.0981751270279,32.9122863769531,2.66452484130862,4.59852294921877,14.0157257080078,24.166879272461,26.0761825561524
2012,-16.092626953125,13.570030588109,35.2829833984375,1.47571105957034,3.37634582519534,12.619775390625,24.8870819091797,26.8629455566406
2013,-11.9978088378906,12.9910999056488,34.0067687988281,1.60241851806643,3.17520751953127,12.2889038085938,24.0780639648438,26.0828765869141
2014,-12.9477294921875,14.0488992695651,31.9103332519531,3.03934478759768,4.63286132812502,14.2067199707031,23.7173828125,25.7704650878906
2015,-12.5829528808594,14.2880961201904,34.6057067871094,2.3975036621094,4.48227233886721,13.7343994140625,25.1394622802735,27.7444793701172
2016,-7.7445129394531,13.9537919861448,34.6717468261719,3.12754669189455,4.69073181152346,12.8671203613281,25.1689849853516,27.2518127441406
2017,-12.6338562011719,14.4799540008373,35.5607238769531,2.1533157348633,4.07396240234377,14.33974609375,25.2971130371094,27.4516174316406
2018,-11.858740234375,13.6149858709269,35.9706359863281,2.17768554687502,4.14362792968752,12.9603515625,24.5927154541016,26.4717803955078
2019,-8.80753173828123,14.145510318335,33.1700988769531,3.10200347900393,4.85962219238284,13.22255859375,24.809017944336,27.0411834716797
2020,-7.15314331054685,14.3450899306236,34.0369506835938,3.57939453125002,5.46811523437502,13.2641540527344,24.8487091064453,27.2790344238281
