"Year","Minimum","Mean","Maximum","Quantile_0.05","Quantile_0.10","Median","Quantile_0.90","Quantile_0.95"
1990,252.524047851562,277.422165758496,297.166748046875,265.828765869141,268.496295166016,277.321395874023,287.074658203125,289.091616821289
1991,242.035675048828,276.599045253172,298.159606933594,260.713275146484,264.097937011719,276.754028320312,288.992709350586,290.860244750977
1992,247.8046875,276.173277225426,296.179107666016,261.755363464355,264.435467529297,275.731460571289,288.570303344727,290.265017700195
1993,249.411041259766,275.478043521166,296.130218505859,259.458302307129,262.292919921875,275.64306640625,286.247497558594,288.154096984863
1994,234.493530273438,276.50799630498,297.575408935547,260.527514648437,264.531314086914,276.768753051758,288.489691162109,290.343338012695
1995,245.851623535156,276.441562536543,297.271057128906,260.39672088623,263.950003051758,276.273162841797,288.790090942383,290.41614074707
1996,241.316436767578,275.388449507692,298.791198730469,255.335987854004,258.869998168945,276.933929443359,288.119232177734,289.906433105469
1997,235.366882324219,275.374000762168,296.595275878906,257.787750244141,262.495419311523,274.980331420898,288.306689453125,289.856381225586
1998,239.832611083984,276.02949757781,299.885650634766,257.89217376709,261.764077758789,277.072875976562,288.462567138672,290.774359130859
1999,240.289306640625,277.201807608264,299.087097167969,262.194580078125,265.344857788086,276.698669433594,290.268981933594,292.113078308105
2000,244.813354492188,276.977921695972,298.865509033203,262.222492980957,265.45842590332,277.2841796875,288.073950195313,289.777770996094
2001,241.724182128906,276.508872203439,300.026458740234,258.828144836426,263.227267456055,277.178115844727,289.530123901367,292.101010131836
2002,239.783050537109,277.126348782171,300.697784423828,259.204725646973,263.123446655273,277.376907348633,289.546133422852,292.209391784668
2003,242.374786376953,275.59847661281,295.355194091797,257.977815246582,262.391760253906,275.925445556641,288.094287109375,289.576441955566
2004,246.078399658203,276.497663792635,298.056854248047,260.774783325195,263.819094848633,277.297454833984,287.916259765625,289.830863952637
2005,242.808197021484,276.698710020387,298.878784179688,260.128421020508,264.072250366211,277.272827148438,288.631213378906,290.582765197754
2006,236.555450439453,276.303909599077,298.155639648438,256.798477172852,261.979107666016,277.450012207031,288.701477050781,290.637084960938
2007,242.561340332031,277.810609063035,299.481628417969,263.37247467041,266.548379516602,276.375518798828,290.526248168945,292.388041687012
2008,242.730163574219,277.460805747746,298.443237304688,262.556396484375,266.10954284668,277.957748413086,288.634548950195,290.713409423828
2009,244.212371826172,277.193937353351,297.955688476562,260.221041870117,265.113626098633,277.163650512695,288.819519042969,290.919052124023
2010,237.925598144531,277.071043655835,300.423858642578,257.530577087402,261.435552978516,277.718124389648,291.495422363281,293.40026550293
2011,241.305084228516,276.500834718829,298.339294433594,259.388047790527,263.086849975586,275.552581787109,288.950500488281,290.805451965332
2012,238.455200195312,276.892772266279,299.235778808594,254.985781860352,260.549212646484,278.972351074219,290.39599609375,292.503234863281
2013,247.017150878906,277.362059670594,298.419006347656,261.631069946289,264.72477722168,278.041397094727,289.162991333008,290.949552917481
2014,237.786376953125,277.325428113185,298.638977050781,260.505471801758,266.406930541992,277.123901367188,289.533508300781,291.327758789062
2015,236.489440917969,277.898020082022,298.500183105469,265.183267211914,268.256497192383,276.683151245117,289.557852172852,291.52780456543
2016,245.348724365234,277.360700935075,299.288879394531,261.06515045166,265.028158569336,277.172546386719,290.284790039062,292.237794494629
2017,242.718231201172,277.265384105742,300.52392578125,260.123484802246,264.660882568359,276.930725097656,289.76083984375,291.840902709961
2018,249.003936767578,277.382437199019,299.605651855469,259.989178466797,263.016784667969,278.524841308594,290.427447509766,292.143280029297
2019,251.166564941406,278.304674496874,297.55859375,262.188995361328,266.424319458008,278.980438232422,290.0001953125,291.547398376465
2020,252.570068359375,278.42614115055,300.970764160156,266.474002075195,268.350775146484,277.829147338867,289.947491455078,291.291809082031
